Data transakcji;Klient;Kwota
2024-01-06;38;89
2024-01-06;39;89
2024-01-07;47;99
2024-01-07;103;89
2024-01-07;104;89
2024-01-07;105;89
2024-01-07;106;89
2024-01-07;107;890
2024-01-07;108;89
2024-01-07;109;89
2024-01-08;49;99
2024-01-08;86;79.2
2024-01-09;110;99
2024-01-10;111;990
2024-01-12;112;99
2024-01-13;113;99
2024-01-13;53;87.12
2024-01-17;89;99
2024-01-18;55;79.2
2024-01-21;114;99
2024-01-21;115;396
2024-01-22;90;99
2024-01-24;56;69
2024-01-25;60;69
2024-01-25;62;55.2
2024-01-25;116;990
2024-01-25;64;69
2024-01-26;66;69
2024-01-26;69;69
2024-01-26;70;69
2024-01-26;117;79.2
2024-01-26;118;79.2
2024-01-27;73;55.2
2024-01-27;79;69
2024-01-27;81;69
2024-01-27;82;69
2024-01-28;88;79.2
2024-02-01;92;99
2024-02-02;93;89
2024-02-03;96;89
2024-02-03;119;79.2
2024-02-04;120;792
2024-02-04;97;89
2024-02-05;4;75.65
2024-02-05;5;75.65
2024-02-05;7;75.65
2024-02-05;8;75.65
2024-02-05;10;75.65
2024-02-05;11;75.65
2024-02-05;12;89
2024-02-06;13;89
2024-02-06;17;75.65
2024-02-06;24;75.65
2024-02-06;28;75.65
2024-02-06;29;80.1
2024-02-06;31;89
2024-02-06;32;89
2024-02-06;34;71.2
2024-02-06;36;89
2024-02-06;37;89
2024-02-06;38;89
2024-02-07;47;99
2024-02-07;103;89
2024-02-07;121;99
2024-02-07;105;89
2024-02-07;106;89
2024-02-07;108;89
2024-02-08;49;99
2024-02-09;122;495
2024-02-09;110;99
2024-02-12;123;99
2024-02-12;112;99
2024-02-13;124;99
2024-02-14;125;99
2024-02-14;100;89
2024-02-16;126;99
2024-02-17;45;99
2024-02-17;89;99
2024-02-19;127;99
2024-02-22;90;99
2024-02-23;128;89.1
2024-02-23;129;396
2024-02-24;130;99
2024-02-25;60;69
2024-02-25;62;55.2
2024-02-25;64;69
2024-02-26;131;99
2024-02-26;66;69
2024-02-26;69;69
2024-02-26;70;69
2024-02-26;118;79.2
2024-02-27;73;55.2
2024-02-27;81;69
2024-02-27;82;69
2024-03-01;39;79.2
2024-03-01;132;89.1
2024-03-02;93;89
2024-03-03;96;89
2024-03-03;119;79.2
2024-03-04;88;79.2
2024-03-04;97;89
2024-03-05;133;99
2024-03-05;134;990
2024-03-05;5;75.65
2024-03-05;7;75.65
2024-03-05;8;75.65
2024-03-05;10;75.65
2024-03-05;11;75.65
2024-03-05;12;89
2024-03-06;13;89
2024-03-06;17;75.65
2024-03-06;24;75.65
2024-03-06;28;75.65
2024-03-06;29;80.1
2024-03-06;31;89
2024-03-06;32;89
2024-03-06;36;89
2024-03-06;37;89
2024-03-06;38;89
2024-03-07;47;99
2024-03-07;103;89
2024-03-07;121;99
2024-03-07;106;89
2024-03-07;135;792
2024-03-08;49;99
2024-03-09;136;990
2024-03-09;110;99
2024-03-10;137;990
2024-03-12;112;99
2024-03-12;123;99
2024-03-14;125;99
2024-03-16;126;99
2024-03-17;45;99
2024-03-17;89;99
2024-03-19;127;99
2024-03-20;138;99
2024-03-21;139;99
2024-03-22;90;99
2024-03-23;128;89.1
2024-03-24;140;198
2024-03-24;130;99
2024-03-25;60;69
2024-03-25;62;55.2
2024-03-25;64;69
2024-03-26;66;69
2024-03-26;69;69
2024-03-26;70;69
2024-03-26;118;79.2
2024-03-27;141;79.2
2024-03-27;73;55.2
2024-03-27;81;69
2024-03-27;82;69
2024-03-28;88;79.2
2024-03-30;39;79.2
2024-03-30;132;89.1
2024-04-01;142;495
2024-04-02;93;89
2024-04-03;143;99
2024-04-03;144;495
2024-04-03;96;89
2024-04-03;119;79.2
2024-04-04;97;89
2024-04-05;5;75.65
2024-04-05;7;75.65
2024-04-05;8;75.65
2024-04-05;145;990
2024-04-05;10;75.65
2024-04-05;11;75.65
2024-04-06;12;89
2024-04-06;17;75.65
2024-04-06;24;75.65
2024-04-06;28;75.65
2024-04-06;29;80.1
2024-04-06;31;89
2024-04-06;32;89
2024-04-06;36;89
2024-04-06;37;89
2024-04-06;38;89
2024-04-07;47;99
2024-04-07;103;89
2024-04-07;121;99
2024-04-07;106;89
2024-04-08;49;99
2024-04-08;86;79.2
2024-04-10;146;99
2024-04-10;147;990
2024-04-11;148;891
2024-04-11;149;99
2024-04-12;112;99
2024-04-12;123;99
2024-04-13;150;831.6
2024-04-14;151;495
2024-04-15;152;99
2024-04-16;153;990
2024-04-17;154;990
2024-04-18;89;99
2024-04-18;155;792
2024-04-19;127;99
2024-04-20;138;99
2024-04-21;139;99
2024-04-22;90;99
2024-04-23;128;89.1
2024-04-23;156;99
2024-04-24;130;99
2024-04-25;60;69
2024-04-25;62;55.2
2024-04-26;157;99
2024-04-26;69;69
2024-04-26;70;69
2024-04-27;118;79.2
2024-04-27;73;55.2
2024-04-27;81;69
2024-04-27;82;69
2024-04-30;39;79.2
2024-04-30;132;89.1
2024-05-01;158;99
2024-05-03;143;99
2024-05-03;96;89
2024-05-03;119;79.2
2024-05-04;97;89
2024-05-05;3;378.25
2024-05-05;5;75.65
2024-05-05;7;75.65
2024-05-05;2;445
2024-05-05;8;75.65
2024-05-05;10;75.65
2024-05-05;11;75.65
2024-05-06;12;89
2024-05-06;159;99
2024-05-06;17;75.65
2024-05-06;28;75.65
2024-05-06;29;80.1
2024-05-06;31;89
2024-05-06;32;89
2024-05-06;37;89
2024-05-06;38;89
2024-05-07;160;99
2024-05-07;47;99
2024-05-07;106;89
2024-05-08;49;99
2024-05-08;86;79.2
2024-05-10;161;92.07
2024-05-10;146;99
2024-05-12;112;99
2024-05-12;123;99
2024-05-12;162;990
2024-05-15;152;99
2024-05-17;163;990
2024-05-18;89;99
2024-05-19;127;99
2024-05-20;164;99
2024-05-20;138;99
2024-05-20;165;99
2024-05-21;67;396
2024-05-21;166;791
2024-05-21;139;99
2024-05-22;167;990
2024-05-22;168;79.2
2024-05-22;90;99
2024-05-22;169;396
2024-05-23;170;99
2024-05-23;128;89.1
2024-05-23;156;99
2024-05-23;171;881.1
2024-05-23;172;88.11
2024-05-23;88;79.2
2024-05-23;173;881.1
2024-05-23;174;99
2024-05-23;175;88.11
2024-05-24;176;881.1
2024-05-24;177;88.11
2024-05-24;178;88.11
2024-05-24;130;99
2024-05-24;179;881.1
2024-05-24;180;88.11
2024-05-24;181;88.11
2024-05-24;140;396
2024-05-24;59;276
2024-05-25;60;69
2024-05-25;62;55.2
2024-05-25;64;69
2024-05-26;157;99
2024-05-26;182;99
2024-05-26;183;990
2024-05-26;66;69
2024-05-26;68;276
2024-05-26;69;69
2024-05-26;70;69
2024-05-27;118;79.2
2024-05-27;73;55.2
2024-05-27;75;345
2024-05-27;81;69
2024-05-27;82;69
2024-05-28;184;99
2024-05-28;185;99
2024-05-29;186;91.08
2024-05-29;187;99
2024-05-29;188;79.2
2024-05-30;39;79.2
2024-05-30;189;99
2024-05-30;190;990
2024-05-30;191;91.08
2024-05-30;192;99
2024-05-30;193;99
2024-05-30;194;891
2024-05-30;121;99
2024-05-30;195;990
2024-05-30;196;99
2024-05-31;197;396
2024-05-31;198;91.08
2024-05-31;199;99
2024-05-31;200;99
2024-05-31;201;990
2024-05-31;202;79.2
2024-05-31;203;99
2024-05-31;204;99
2024-05-31;205;99
2024-05-31;206;99
2024-05-31;207;990
2024-05-31;208;445.5
2024-05-31;209;79.2
2024-05-31;210;881.1
2024-05-31;211;79.2
2024-05-31;212;99
2024-05-31;213;99
2024-05-31;214;99
2024-05-31;215;910.8
2024-05-31;216;99
2024-05-31;217;99
2024-05-31;218;495
2024-06-01;158;99
2024-06-01;219;99
2024-06-03;96;89
2024-06-03;119;79.2
2024-06-04;220;99
2024-06-04;97;89
2024-06-05;5;75.65
2024-06-05;7;75.65
2024-06-05;8;75.65
2024-06-05;10;75.65
2024-06-05;11;75.65
2024-06-06;12;89
2024-06-06;159;99
2024-06-06;17;75.65
2024-06-06;31;89
2024-06-06;32;89
2024-06-06;34;71.2
2024-06-06;37;89
2024-06-07;160;99
2024-06-07;47;99
2024-06-07;106;89
2024-06-09;117;99
2024-06-10;161;92.07
2024-06-10;146;99
2024-06-12;112;99
2024-06-12;123;99
2024-06-12;164;965.18
2024-06-14;221;990
2024-06-15;152;99
2024-06-18;89;99
2024-06-19;127;99
2024-06-19;222;1490
2024-06-19;223;1490
2024-06-20;138;99
2024-06-20;165;99
2024-06-20;224;1490
2024-06-21;139;99
2024-06-22;90;99
2024-06-22;168;79.2
2024-06-23;128;89.1
2024-06-23;170;99
2024-06-23;156;99
2024-06-23;174;99
2024-06-24;175;88.11
2024-06-24;177;88.11
2024-06-24;178;88.11
2024-06-24;180;88.11
2024-06-25;60;69
2024-06-25;62;55.2
2024-06-25;64;69
2024-06-26;157;99
2024-06-26;66;69
2024-06-26;182;99
2024-06-26;69;69
2024-06-27;118;79.2
2024-06-27;73;55.2
2024-06-27;81;69
2024-06-29;186;91.08
2024-06-29;187;99
2024-06-29;188;79.2
2024-06-30;39;79.2
2024-06-30;189;99
2024-06-30;198;91.08
2024-06-30;199;99
2024-06-30;191;91.08
2024-06-30;200;99
2024-06-30;192;99
2024-06-30;202;79.2
2024-06-30;203;99
2024-06-30;204;99
2024-06-30;205;99
2024-06-30;121;99
2024-06-30;206;99
2024-06-30;209;79.2
2024-06-30;211;79.2
2024-06-30;212;99
2024-06-30;213;99
2024-06-30;196;99
2024-06-30;214;99
2024-07-01;217;99
2024-07-01;158;99
2024-07-01;219;99
2024-07-02;130;99
2024-07-03;193;900.98
2024-07-03;96;89
2024-07-03;119;79.2
2024-07-04;132;69
2024-07-04;97;89
2024-07-04;220;99
2024-07-05;7;75.65
2024-07-05;8;75.65
2024-07-05;10;75.65
2024-07-05;11;75.65
2024-07-06;88;79.2
2024-07-06;159;99
2024-07-06;17;75.65
2024-07-06;70;69
2024-07-06;31;89
2024-07-06;34;71.2
2024-07-06;37;89
2024-07-07;47;99
2024-07-07;106;89
2024-07-10;161;92.07
2024-07-12;112;99
2024-07-12;123;99
2024-07-13;193;99
2024-07-13;32;89
2024-07-15;152;99
2024-07-20;117;99
2024-07-20;138;99
2024-07-20;165;99
2024-07-21;139;99
2024-07-22;90;99
2024-07-22;168;79.2
2024-07-23;128;89.1
2024-07-23;170;99
2024-07-23;156;99
2024-07-23;174;99
2024-07-24;175;88.11
2024-07-24;130;99
2024-07-24;178;88.11
2024-07-24;180;88.11
2024-07-25;60;69
2024-07-25;62;55.2
2024-07-25;64;69
2024-07-26;157;99
2024-07-26;182;99
2024-07-26;69;69
2024-07-26;70;69
2024-07-27;118;79.2
2024-07-27;73;55.2
2024-07-27;81;69
2024-07-29;186;91.08
2024-07-29;187;99
2024-07-29;184;99
2024-07-29;188;79.2
2024-07-30;189;99
2024-07-30;191;91.08
2024-07-30;192;99
2024-07-30;121;99
2024-07-30;196;99
2024-07-31;198;91.08
2024-07-31;199;99
2024-07-31;200;99
2024-07-31;202;79.2
2024-07-31;203;99
2024-07-31;204;99
2024-07-31;205;99
2024-07-31;206;99
2024-07-31;209;79.2
2024-07-31;212;99
2024-07-31;213;99
2024-07-31;214;99
2024-08-01;217;99
2024-08-01;158;99
2024-08-01;219;99
2024-08-03;96;89
2024-08-04;132;69
2024-08-04;97;89
2024-08-04;220;99
2024-08-05;88;79.2
2024-08-05;8;75.65
2024-08-05;10;75.65
2024-08-05;11;75.65
2024-08-06;17;75.65
2024-08-06;159;99
2024-08-06;31;89
2024-08-06;34;71.2
2024-08-06;37;89
2024-08-07;47;99
2024-08-07;106;89
2024-08-12;112;99
2024-08-12;123;99
2024-08-15;152;99
2024-08-20;138;99
2024-08-20;165;99
2024-08-21;139;99
2024-08-22;90;99
2024-08-22;168;79.2
2024-08-23;156;99
2024-08-23;88;79.2
2024-08-23;174;99
2024-08-24;130;99
2024-08-24;178;88.11
2024-08-24;180;88.11
2024-08-25;60;69
2024-08-25;62;55.2
2024-08-25;64;69
2024-08-26;157;99
2024-08-26;182;99
2024-08-26;69;69
2024-08-26;70;69
2024-08-27;118;79.2
2024-08-27;73;55.2
2024-08-27;81;69
2024-08-29;186;91.08
2024-08-29;187;99
2024-08-30;39;79.2
2024-08-30;189;99
2024-08-30;191;91.08
2024-08-30;192;99
2024-08-30;170;99
2024-08-30;121;99
2024-08-30;196;99
2024-08-31;198;91.08
2024-08-31;199;99
2024-08-31;202;79.2
2024-08-31;203;99
2024-08-31;204;99
2024-08-31;206;99
2024-08-31;212;99
2024-08-31;213;99
2024-08-31;214;99
2024-09-01;217;99
2024-09-01;225;169
2024-09-01;226;69
2024-09-01;227;1799
2024-09-01;228;169
2024-09-01;229;135.2
2024-09-01;158;99
2024-09-01;230;169
2024-09-01;231;169
2024-09-01;232;169
2024-09-01;233;169
2024-09-01;219;99
2024-09-02;234;990
2024-09-02;23;169
2024-09-02;235;169
2024-09-02;236;169
2024-09-02;237;169
2024-09-02;238;1439.2
2024-09-02;239;1439.2
2024-09-03;240;1799
2024-09-03;241;169
2024-09-03;242;169
2024-09-03;243;169
2024-09-03;96;89
2024-09-03;244;169
2024-09-04;132;69
2024-09-04;245;169
2024-09-04;246;169
2024-09-04;247;135.2
2024-09-04;248;169
2024-09-04;97;89
2024-09-04;220;99
2024-09-05;249;169
2024-09-05;250;169
2024-09-05;251;169
2024-09-05;252;169
2024-09-05;8;75.65
2024-09-05;10;75.65
2024-09-05;11;75.65
2024-09-05;253;169
2024-09-06;254;169
2024-09-06;159;99
2024-09-06;17;75.65
2024-09-06;255;169
2024-09-06;256;169
2024-09-06;257;169
2024-09-06;31;89
2024-09-06;34;71.2
2024-09-06;37;89
2024-09-07;258;152.1
2024-09-07;47;99
2024-09-07;259;169
2024-09-07;260;169
2024-09-07;261;1279.2
2024-09-07;262;169
2024-09-07;263;169
2024-09-07;264;169
2024-09-07;265;1799
2024-09-07;106;89
2024-09-08;266;169
2024-09-08;267;135.2
2024-09-08;268;169
2024-09-08;269;169
2024-09-08;270;169
2024-09-08;271;169
2024-09-08;272;169
2024-09-08;273;1799
2024-09-08;274;169
2024-09-08;275;169
2024-09-08;276;169
2024-09-08;277;1799
2024-09-08;278;169
2024-09-08;279;169
2024-09-08;280;1599
2024-09-08;281;169
2024-09-08;282;169
2024-09-08;283;169
2024-09-08;284;169
2024-09-08;285;1439.2
2024-09-08;286;169
2024-09-08;287;169
2024-09-08;288;169
2024-09-08;289;169
2024-09-08;290;1599
2024-09-08;291;169
2024-09-08;292;169
2024-09-08;293;169
2024-09-08;294;169
2024-09-08;295;135.2
2024-09-08;296;1799
2024-09-08;297;169
2024-09-08;298;169
2024-09-08;299;1799
2024-09-08;300;1599
2024-09-08;301;160.55
2024-09-08;302;169
2024-09-10;303;199
2024-09-10;304;199
2024-09-10;305;199
2024-09-11;306;199
2024-09-12;307;199
2024-09-12;112;99
2024-09-12;123;99
2024-09-13;308;199
2024-09-13;309;199
2024-09-15;310;199
2024-09-15;152;99
2024-09-15;311;199
2024-09-16;312;199
2024-09-16;249;169
2024-09-16;313;199
2024-09-18;314;199
2024-09-20;138;99
2024-09-20;165;99
2024-09-21;315;199
2024-09-21;139;99
2024-09-22;90;99
2024-09-22;168;79.2
2024-09-23;316;199
2024-09-23;317;199
2024-09-23;88;79.2
2024-09-23;174;99
2024-09-24;130;99
2024-09-24;178;88.11
2024-09-24;180;88.11
2024-09-24;181;88.11
2024-09-25;60;69
2024-09-25;62;55.2
2024-09-26;117;79.2
2024-09-26;157;99
2024-09-26;69;69
2024-09-26;70;69
2024-09-26;318;199
2024-09-27;118;79.2
2024-09-27;73;55.2
2024-09-27;81;69
2024-09-29;319;199
2024-09-29;320;199
2024-09-29;186;91.08
2024-09-29;187;99
2024-09-30;39;79.2
2024-09-30;189;99
2024-09-30;198;91.08
2024-09-30;199;99
2024-09-30;191;91.08
2024-09-30;202;79.2
2024-09-30;204;99
2024-09-30;121;99
2024-09-30;206;99
2024-09-30;212;99
2024-09-30;213;99
2024-09-30;196;99
2024-09-30;214;99
2024-10-01;217;99
2024-10-01;321;199
2024-10-01;158;99
2024-10-01;228;169
2024-10-01;229;135.2
2024-10-01;230;169
2024-10-01;36;199
2024-10-01;231;169
2024-10-01;232;169
2024-10-01;233;169
2024-10-01;219;99
2024-10-02;23;169
2024-10-02;322;199
2024-10-02;235;169
2024-10-02;236;169
2024-10-02;237;169
2024-10-03;241;169
2024-10-03;242;169
2024-10-03;243;169
2024-10-03;244;169
2024-10-03;323;199
2024-10-04;132;69
2024-10-04;245;169
2024-10-04;246;169
2024-10-04;248;169
2024-10-04;97;89
2024-10-04;220;99
2024-10-05;324;199
2024-10-05;250;169
2024-10-05;252;169
2024-10-05;7;75.65
2024-10-05;10;75.65
2024-10-05;11;75.65
2024-10-06;253;169
2024-10-06;325;199
2024-10-06;254;169
2024-10-06;159;99
2024-10-06;17;75.65
2024-10-06;326;199
2024-10-06;256;169
2024-10-06;31;89
2024-10-06;34;71.2
2024-10-06;37;89
2024-10-07;258;152.1
2024-10-07;47;99
2024-10-07;259;169
2024-10-07;327;199
2024-10-07;262;169
2024-10-07;263;169
2024-10-07;264;169
2024-10-08;266;169
2024-10-08;267;135.2
2024-10-08;268;169
2024-10-08;269;169
2024-10-08;270;169
2024-10-08;271;169
2024-10-08;272;169
2024-10-08;274;169
2024-10-08;275;169
2024-10-08;328;199
2024-10-08;279;169
2024-10-08;281;169
2024-10-08;282;169
2024-10-08;283;169
2024-10-08;284;169
2024-10-08;286;169
2024-10-08;287;169
2024-10-08;288;169
2024-10-08;289;169
2024-10-08;291;169
2024-10-08;292;169
2024-10-08;293;169
2024-10-08;294;169
2024-10-08;297;169
2024-10-08;298;169
2024-10-08;301;160.55
2024-10-08;302;169
2024-10-09;329;199
2024-10-09;330;199
2024-10-10;303;199
2024-10-12;307;199
2024-10-12;123;99
2024-10-12;331;199
2024-10-13;305;199
2024-10-13;308;199
2024-10-15;311;199
2024-10-16;332;199
2024-10-16;312;199
2024-10-16;249;169
2024-10-16;313;199
2024-10-17;333;159.2
2024-10-20;138;99
2024-10-20;334;199
2024-10-20;165;99
2024-10-21;315;199
2024-10-21;139;99
2024-10-22;335;199
2024-10-22;90;99
2024-10-22;168;79.2
2024-10-23;316;199
2024-10-23;317;199
2024-10-23;88;79.2
2024-10-23;174;99
2024-10-24;336;199
2024-10-24;337;159.2
2024-10-24;130;99
2024-10-24;178;88.11
2024-10-24;180;88.11
2024-10-24;181;88.11
2024-10-25;60;69
2024-10-25;62;55.2
2024-10-25;64;69
2024-10-26;157;99
2024-10-26;69;69
2024-10-26;70;69
2024-10-27;118;79.2
2024-10-27;73;55.2
2024-10-27;81;69
2024-10-28;338;199
2024-10-28;339;199
2024-10-28;340;1799
2024-10-29;319;199
2024-10-29;320;199
2024-10-29;186;91.08
2024-10-29;187;99
2024-10-30;39;79.2
2024-10-30;189;99
2024-10-30;191;91.08
2024-10-30;121;99
2024-10-30;196;99
2024-10-30;341;1759.12
2024-10-31;198;91.08
2024-10-31;199;99
2024-10-31;202;79.2
2024-10-31;204;99
2024-10-31;212;99
2024-10-31;213;99
2024-10-31;214;99
2024-10-31;217;99
2024-11-01;226;69
2024-11-01;158;99
2024-11-01;228;169
2024-11-01;321;199
2024-11-01;229;135.2
2024-11-01;230;169
2024-11-01;231;169
2024-11-01;36;199
2024-11-01;342;199
2024-11-01;233;169
2024-11-01;219;99
2024-11-02;23;169
2024-11-02;322;199
2024-11-02;235;169
2024-11-02;236;169
2024-11-02;237;169
2024-11-02;343;199
2024-11-02;144;495
2024-11-03;241;169
2024-11-03;242;169
2024-11-03;243;169
2024-11-03;344;199
2024-11-03;244;169
2024-11-03;323;199
2024-11-04;132;69
2024-11-04;245;169
2024-11-04;246;169
2024-11-04;247;135.2
2024-11-04;248;169
2024-11-04;220;99
2024-11-04;345;199
2024-11-05;346;159.2
2024-11-05;252;169
2024-11-05;3;378.25
2024-11-05;6;801
2024-11-05;7;75.65
2024-11-05;2;445
2024-11-05;9;756.5
2024-11-05;10;75.65
2024-11-05;11;75.65
2024-11-05;253;169
2024-11-06;159;99
2024-11-06;17;75.65
2024-11-06;18;890
2024-11-06;256;169
2024-11-06;326;199
2024-11-06;30;756.5
2024-11-06;251;199
2024-11-06;31;89
2024-11-06;33;356
2024-11-06;34;71.2
2024-11-06;35;801
2024-11-06;37;89
2024-11-07;44;990
2024-11-07;258;152.1
2024-11-07;47;99
2024-11-07;262;169
2024-11-07;263;169
2024-11-07;327;199
2024-11-07;264;169
2024-11-08;266;169
2024-11-08;347;199
2024-11-08;267;135.2
2024-11-08;268;169
2024-11-08;269;169
2024-11-08;270;169
2024-11-08;271;169
2024-11-08;272;169
2024-11-08;274;169
2024-11-08;275;169
2024-11-08;328;199
2024-11-08;279;169
2024-11-08;283;169
2024-11-08;284;169
2024-11-08;288;169
2024-11-08;289;169
2024-11-08;291;169
2024-11-08;292;169
2024-11-08;293;169
2024-11-08;294;169
2024-11-08;297;169
2024-11-08;298;169
2024-11-08;301;160.55
2024-11-08;302;169
2024-11-09;348;199
2024-11-09;349;199
2024-11-09;330;199
2024-11-09;350;199
2024-11-10;303;199
2024-11-11;351;199
2024-11-12;352;175.12
2024-11-12;123;99
2024-11-12;353;199
2024-11-12;331;199
2024-11-12;354;199
2024-11-13;308;199
2024-11-14;355;199
2024-11-14;54;871.2
2024-11-14;356;1599.2
2024-11-14;357;199
2024-11-15;311;199
2024-11-15;286;169
2024-11-16;259;169
2024-11-16;332;199
2024-11-16;312;199
2024-11-16;313;199
2024-11-17;305;199
2024-11-17;358;199
2024-11-18;359;199
2024-11-19;360;199
2024-11-20;138;99
2024-11-20;334;199
2024-11-20;165;99
2024-11-21;315;199
2024-11-21;361;199
2024-11-21;139;99
2024-11-22;314;199
2024-11-22;90;99
2024-11-22;168;79.2
2024-11-23;316;199
2024-11-23;317;199
2024-11-24;336;199
2024-11-24;362;199
2024-11-24;130;99
2024-11-24;178;88.11
2024-11-24;180;88.11
2024-11-24;181;88.11
2024-11-24;140;396
2024-11-25;60;69
2024-11-25;363;179
2024-11-25;364;179
2024-11-25;61;607.2
2024-11-25;62;55.2
2024-11-25;64;69
2024-11-25;365;999
2024-11-26;366;179
2024-11-26;65;690
2024-11-26;367;999
2024-11-26;69;69
2024-11-26;70;69
2024-11-26;118;79.2
2024-11-27;368;820
2024-11-27;73;55.2
2024-11-27;75;345
2024-11-27;80;690
2024-11-27;81;69
2024-11-28;338;199
2024-11-28;369;999
2024-11-28;339;199
2024-11-28;370;179
2024-11-29;320;199
2024-11-29;186;91.08
2024-11-29;371;999
2024-11-29;187;99
2024-11-29;307;199
2024-11-30;39;79.2
2024-11-30;372;179
2024-11-30;189;99
2024-11-30;198;91.08
2024-11-30;199;99
2024-11-30;373;999
2024-11-30;191;91.08
2024-11-30;202;79.2
2024-11-30;374;179
2024-11-30;204;99
2024-11-30;208;495
2024-11-30;121;99
2024-11-30;212;99
2024-11-30;213;99
2024-11-30;196;99
2024-11-30;214;99
2024-11-30;217;99
2024-12-01;375;999
2024-12-01;333;159.2
2024-12-01;376;999
2024-12-01;226;69
2024-12-01;158;99
2024-12-01;228;169
2024-12-01;321;199
2024-12-01;229;135.2
2024-12-01;230;169
2024-12-01;377;179
2024-12-01;378;999
2024-12-01;231;169
2024-12-01;36;199
2024-12-01;379;179
2024-12-01;380;999
2024-12-01;219;99
2024-12-01;381;999
2024-12-01;382;999
2024-12-01;383;999
2024-12-02;384;999
2024-12-02;385;999
2024-12-02;23;169
2024-12-02;386;179
2024-12-02;387;999
2024-12-02;322;199
2024-12-02;388;143.2
2024-12-02;389;179
2024-12-02;390;999
2024-12-02;391;999
2024-12-02;392;179
2024-12-02;84;999
2024-12-02;237;169
2024-12-02;393;999
2024-12-02;394;999
2024-12-02;395;999
2024-12-02;396;179
2024-12-02;397;999
2024-12-02;343;199
2024-12-02;398;999
2024-12-03;241;169
2024-12-03;242;169
2024-12-03;243;169
2024-12-03;244;169
2024-12-04;132;69
